username,password,email,first_name,last_name,role,student_id_number,enrollment_date,employee_id_number,department_name
alice.smith,hkmu2025,alice.smith@campushive.edu,Alice,Smith,student,s2004002,2024-09-01,,
bob.johnson,hkmu2025,bob.johnson@campushive.edu,Bob,Johnson,student,s2004003,2024-09-01,,
charlie.brown,hkmu2025,charlie.brown@campushive.edu,Charlie,Brown,student,s2004004,2024-09-01,,
simba.chen,hkmu2025,simba.chen@campushive.edu,Simba,CHEN,student,s2004005,2024-09-01,,
jina.cheung,hkmu2025,jina.cheung@campushive.edu,Jina,CHEUNG,student,s2004006,2024-09-01,,
isabella.tsang,hkmu2025,isabella.tsang@campushive.edu,Isabella,TSANG,student,s2004007,2024-09-01,,
justin.ye,hkmu2025,justin.ye@campushive.edu,Justin,YE,student,s2004008,2024-09-01,,
matthew.zhang,hkmu2025,matthew.zhang@campushive.edu,MATTHEW,ZHANG,student,s2004009,2024-09-01,,
leo.luo,hkmu2025,leo.luo@campushive.edu,Leo,LUO,student,s2004010,2024-09-01,,
altman.sun,hkmu2025,altman.sun@campushive.edu,Altman,SUN,student,s2004011,2024-09-01,,
selena.zhang,hkmu2025,selena.zhang@campushive.edu,Selena,ZHANG,student,s2004012,2024-09-01,,
ava.yang,hkmu2025,ava.yang@campushive.edu,Ava,YANG,student,s2004013,2024-09-01,,
krista.qiu,hkmu2025,krista.qiu@campushive.edu,Krista,QIU,student,s2004014,2024-09-01,,
allen.duan,hkmu2025,allen.duan@campushive.edu,Allen,DUAN,student,s2004015,2024-09-01,,
scarlett.liu,hkmu2025,scarlett.liu@campushive.edu,Scarlett,LIU,student,s2004016,2024-09-01,,
jae.zheng,hkmu2025,jae.zheng@campushive.edu,Jae,ZHENG,student,s2004017,2024-09-01,,
lucas.kang,hkmu2025,lucas.kang@campushive.edu,Lucas,KANG,student,s2004018,2024-09-01,,
emily.li,hkmu2025,emily.li@campushive.edu,Emily,LI,student,s2004019,2024-09-01,,
valentina.lin,hkmu2025,valentina.lin@campushive.edu,Valentina,LIN,student,s2004020,2024-09-01,,
ethan.zhuang,hkmu2025,ethan.zhuang@campushive.edu,Ethan,ZHUANG,student,s2004021,2024-09-01,,
iain.chen,hkmu2025,iain.chen@campushive.edu,Iain,CHEN,student,s2004022,2024-09-01,,
alan.huang,hkmu2025,alan.huang@campushive.edu,Alan,HUANG,student,s2004023,2024-09-01,,
owen.zhu,hkmu2025,owen.zhu@campushive.edu,Owen,ZHU,student,s2004024,2024-09-01,,
judy.tang,hkmu2025,judy.tang@campushive.edu,Judy,TANG,student,s2004025,2024-09-01,,
olivia.zhang,hkmu2025,olivia.zhang@campushive.edu,Olivia,ZHANG,student,s2004026,2024-09-01,,
Yui.Hirao,hkmu2025,Yui.Hirao@campushive.edu,Yui,HIRAO,student,s2004027,2024-09-01,,
Shams.Samra,hkmu2025,Shams.Samra@campushive.edu,Shams,SAMRA,student,s2004028,2024-09-01,,
cynthia.lai,hkmu2025,cynthia.lai@campushive.edu,Cynthia,LAI,student,s2004029,2024-09-01,,
bryan.liang,hkmu2025,bryan.liang@campushive.edu,Bryan,LIANG,student,s2004030,2024-09-01,,
ashraf.dean,hkmu2025,ashraf.dean@campushive.edu,Ashraf,Dean,teacher,,,t003,PYP Chinese
alfredo.garcia,hkmu2025,alfredo.garcia@campushive.edu,Alfredo,Garcia,teacher,,,t004,PYP Chinese
devan.grainger,hkmu2025,devan.grainger@campushive.edu,Devan,Grainger,teacher,,,t005,PYP Chinese
kai.smith,hkmu2025,kai.smith@campushive.edu,Kai,Smith,teacher,,,t006,PYP Chinese
jacob.wagner,hkmu2025,jacob.wagner@campushive.edu,Jacob,Wagner,teacher,,,t007,PYP Chinese
sangha.chakraborty,hkmu2025,sangha.chakraborty@campushive.edu,Sangha,Chakraborty,teacher,,,t008,PYP Math
julien.sater,hkmu2025,julien.sater@campushive.edu,Julien,Sater,teacher,,,t009,PYP Math
antony.lewis,hkmu2025,antony.lewis@campushive.edu,Antony,Lewis,teacher,,,t010,PYP Math
midori.neaton,hkmu2025,midori.neaton@campushive.edu,Midori,midori,teacher,,,t011,PYP Math
janet.bailey,hkmu2025,janet.bailey@campushive.edu,Janet,Bailey,teacher,,,t012,PYP English
domnica.cimpian,hkmu2025,domnica.cimpian@campushive.edu,Domnica,Cimpian,teacher,,,t013,PYP English
april.dalbello,hkmu2025,april.dalbello@campushive.edu,April,Dalbello,teacher,,,t014,PYP English
christina.peters,hkmu2025,christina.peters@campushive.edu,Christina,Peters,teacher,,,t015,PYP English
jaimee.allan,hkmu2025,jaimee.allan@campushive.edu,Jaimee,Allan,teacher,,,t016,PYP English
laura.loran,hkmu2025,laura.loran@campushive.edu,Laura,Loran,teacher,,,t017,PYP Art
daniel.fuller,hkmu2025,daniel.fuller@campushive.edu,Daniel,Fuller,teacher,,,t018,PYP Art
samantha.chapple,hkmu2025,samantha.chapple@campushive.edu,Samantha,Chapple,teacher,,,t019,PYP Music
jennifer.knight,hkmu2025,jennifer.knight@campushive.edu,Jennifer,Knight,teacher,,,t020,PYP Music
eva.munoz,hkmu2025,eva.munoz@campushive.edu,Eva,Munoz,teacher,,,t021,PYP PE
