username,password,email,first_name,last_name,role,student_id_number,employee_id_number
alice.smith,hkmu2025,alice.smith@campushive.edu,Alice,Smith,student,s2004002,
bob.johnson,hkmu2025,bob.johnson@campushive.edu,Bob,Johnson,student,s2004003,
charlie.brown,hkmu2025,charlie.brown@campushive.edu,Charlie,Brown,student,s2004004,
simba.chen,hkmu2025,simba.chen@campushive.edu,Simba,CHEN,student,s2004005,
jina.cheung,hkmu2025,jina.cheung@campushive.edu,Jina,CHEUNG,student,s2004006,
isabella.tsang,hkmu2025,isabella.tsang@campushive.edu,Isabella,TSANG,student,s2004007,
justin.ye,hkmu2025,justin.ye@campushive.edu,Justin,YE,student,s2004008,
matthew.zhang,hkmu2025,matthew.zhang@campushive.edu,MATTHEW,ZHANG,student,s2004009,
leo.luo,hkmu2025,leo.luo@campushive.edu,Leo,LUO,student,s2004010,
altman.sun,hkmu2025,altman.sun@campushive.edu,Altman,SUN,student,s2004011,
selena.zhang,hkmu2025,selena.zhang@campushive.edu,Selena,ZHANG,student,s2004012,
ava.yang,hkmu2025,ava.yang@campushive.edu,Ava,YANG,student,s2004013,
krista.qiu,hkmu2025,krista.qiu@campushive.edu,Krista,QIU,student,s2004014,
allen.duan,hkmu2025,allen.duan@campushive.edu,Allen,DUAN,student,s2004015,
scarlett.liu,hkmu2025,scarlett.liu@campushive.edu,Scarlett,LIU,student,s2004016,
jae.zheng,hkmu2025,jae.zheng@campushive.edu,Jae,ZHENG,student,s2004017,
lucas.kang,hkmu2025,lucas.kang@campushive.edu,Lucas,KANG,student,s2004018,
emily.li,hkmu2025,emily.li@campushive.edu,Emily,LI,student,s2004019,
valentina.lin,hkmu2025,valentina.lin@campushive.edu,Valentina,LIN,student,s2004020,
ethan.zhuang,hkmu2025,ethan.zhuang@campushive.edu,Ethan,ZHUANG,student,s2004021,
iain.chen,hkmu2025,iain.chen@campushive.edu,Iain,CHEN,student,s2004022,
alan.huang,hkmu2025,alan.huang@campushive.edu,Alan,HUANG,student,s2004023,
owen.zhu,hkmu2025,owen.zhu@campushive.edu,Owen,ZHU,student,s2004024,
judy.tang,hkmu2025,judy.tang@campushive.edu,Judy,TANG,student,s2004025,
olivia.zhang,hkmu2025,olivia.zhang@campushive.edu,Olivia,ZHANG,student,s2004026,
Yui.Hirao,hkmu2025,Yui.Hirao@campushive.edu,Yui,HIRAO,student,s2004027,
Shams.Samra,hkmu2025,Shams.Samra@campushive.edu,Shams,SAMRA,student,s2004028,
cynthia.lai,hkmu2025,cynthia.lai@campushive.edu,Cynthia,LAI,student,s2004029,
bryan.liang,hkmu2025,bryan.liang@campushive.edu,Bryan,LIANG,student,s2004030,
ashraf.dean,hkmu2025,ashraf.dean@campushive.edu,Ashraf,Dean,teacher,,t003
alfredo.garcia,hkmu2025,alfredo.garcia@campushive.edu,Alfredo,Garcia,teacher,,t004
devan.grainger,hkmu2025,devan.grainger@campushive.edu,Devan,Grainger,teacher,,t005
kai.smith,hkmu2025,kai.smith@campushive.edu,Kai,Smith,teacher,,t006
jacob.wagner,hkmu2025,jacob.wagner@campushive.edu,Jacob,Wagner,teacher,,t007
sangha.chakraborty,hkmu2025,sangha.chakraborty@campushive.edu,Sangha,Chakraborty,teacher,,t008
julien.sater,hkmu2025,julien.sater@campushive.edu,Julien,Sater,teacher,,t009
antony.lewis,hkmu2025,antony.lewis@campushive.edu,Antony,Lewis,teacher,,t010
midori.neaton,hkmu2025,midori.neaton@campushive.edu,Midori,midori,teacher,,t011
janet.bailey,hkmu2025,janet.bailey@campushive.edu,Janet,Bailey,teacher,,t012
domnica.cimpian,hkmu2025,domnica.cimpian@campushive.edu,Domnica,Cimpian,teacher,,t013
april.dalbello,hkmu2025,april.dalbello@campushive.edu,April,Dalbello,teacher,,t014
christina.peters,hkmu2025,christina.peters@campushive.edu,Christina,Peters,teacher,,t015
jaimee.allan,hkmu2025,jaimee.allan@campushive.edu,Jaimee,Allan,teacher,,t016
laura.loran,hkmu2025,laura.loran@campushive.edu,Laura,Loran,teacher,,t017
daniel.fuller,hkmu2025,daniel.fuller@campushive.edu,Daniel,Fuller,teacher,,t018
samantha.chapple,hkmu2025,samantha.chapple@campushive.edu,Samantha,Chapple,teacher,,t019
jennifer.knight,hkmu2025,jennifer.knight@campushive.edu,Jennifer,Knight,teacher,,t020
eva.munoz,hkmu2025,eva.munoz@campushive.edu,Eva,Munoz,teacher,,t021
